영화명,평점,"런닝타임,시간",배우
명량 (2014),7.8,"128분, 15세이상관람가 ","최민식,류승룡,조진웅" 
신과함께-죄와 벌 (2017),7.0,"139분, 12세이상관람가 ","하정우,차태현,주지훈,김향기,김동욱,마동석" 
국제시장 (2014),7.1,"126분, 12세이상관람가 ","황정민,김윤진,오달수" 
베테랑 (2014),8.4,"123분, 15세이상관람가 ","황정민,유아인" 
도둑들 (2012),7.9,"135분, 15세이상관람가 ","김윤석,이정재,김혜수,전지현,임달화,김해숙,오달수,김수현,증국상" 
7번방의 선물 (2012),8.7,"127분, 15세이상관람가 ","류승룡,박신혜,갈소원,오달수,박원상,김정태,정만식,김기천" 
암살 (2015),8.5,"139분, 15세이상관람가 ","전지현,이정재,하정우" 
"광해, 왕이 된 남자 (2012)",8.6,"131분, 15세이상관람가 ","이병헌,류승룡,한효주" 
신과함께-인과 연 (2018),6.8,"141분, 12세이상관람가 ","하정우,주지훈,김향기,마동석,김동욱" 
택시운전사 (2017),9.0,"137분, 15세이상관람가 ","송강호,토마스 크레취만,유해진,류준열" 
부산행 (2016),7.3,"118분, 15세이상관람가 ","공유,정유미,마동석,김수안,김의성,최우식,안소희" 
변호인 (2013),9.3,"127분, 15세이상관람가 ","송강호" 
어벤져스: 인피니티 워 (2018),7.6,"149분, 12세이상관람가 ","로버트 다우니 주니어,조슈 브롤린,마크 러팔로,톰 히들스턴,크리스 에반스,크리스 헴스워스,제레미 레너,스칼렛 요한슨" 
어벤져스 : 에이지 오브 울트론 (2015),7.8,"141분, 12세이상관람가 ","로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨" 
겨울왕국 (2013),8.2,"108분, 전체관람가 ","박지윤,소연,박혜나,최원형,윤승욱,장민혁,정상윤,이장원,정영주,크리스틴 벨,이디나 멘젤,조시 게드,조나단 그로프,Maia Wilson" 
인터스텔라 (2014),8.0,"2016.01.14(재개봉)","크리스토퍼 놀란" 
검사외전 (2015),6.4,"126분, 15세이상관람가 ","황정민,강동원"
관상 (2013),8.0,"139분, 15세이상관람가 ","송강호,이정재,백윤식,조정석,이종석,김혜수" 
아이언맨 3 (2013),8.3,"130분, 12세이상관람가 ","로버트 다우니 주니어,기네스 팰트로,돈 치들,가이 피어스"
설국열차 (2013),7.1,"126분, 15세이상관람가 ","크리스 에반스,송강호,에드 해리스,존 허트,틸다 스윈튼,제이미 벨,옥타비아 스펜서,이완 브렘너,고아성"
캡틴 아메리카: 시빌 워 (2016),8.1,"147분, 12세이상관람가 ","크리스 에반스,로버트 다우니 주니어,"
수상한 그녀 (2013),8.8,"124분, 15세이상관람가 ","심은경,나문희,"
해적 : 바다로 간 산적 (2014),7.7,"","김남길,손예진"
공조 (2016),7.2,"125분, 15세이상관람가 ","현빈,유해진,김주혁,"
히말라야 (2015),6.6,"125분, 12세이상관람가 ","황정민,정우,"
밀정 (2016),7.7,"140분, 15세이상관람가 ","송강호,공유,"
스파이더맨 : 홈커밍 (2017),8.1,"133분, 12세이상관람가 ","톰 홀랜드,로버트 다우니 주니어,마이클 키튼,"
1987 (2017),9.5,"129분, 15세이상관람가 ","김윤석,하정우,유해진,김태리,박희순,이희준,"
베를린 (2012),8.0,"120분, 15세이상관람가 ","하정우,한석규,류승범,전지현,"
마스터 (2016),7.1,"143분, 15세이상관람가 ","이병헌,강동원,김우빈,"
터널 (2016),7.2,"126분, 12세이상관람가 ","하정우,배두나,오달수,"
어벤져스 : 에이지 오브 울트론 (2015),7.8,"141분, 12세이상관람가 ","로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,"
내부자들 (2015),8.2,"130분, 청소년관람불가 ","이병헌,조승우,백윤식,"
인천상륙작전 (2016),5.5,"2016.09.23(재개봉)","이재한,"
럭키 (2015),6.9,"112분, 15세이상관람가 ","유해진,이준,조윤희,임지연,"
은밀하게 위대하게 (2013),7.1,"124분, 15세이상관람가 ","김수현,박기웅,이현우,"
곡성(哭聲) (2016),7.2,"156분, 15세이상관람가 ","곽도원,황정민,쿠니무라 준,천우희,김환희,"
범죄도시 (2017),8.3,"121분, 청소년관람불가 ","마동석,윤계상,"
늑대소년 (2012),8.4,"125분, 15세이상관람가 ","송중기,박보영,"
군함도 (2017),6.6,"132분, 15세이상관람가 ","황정민,소지섭,송중기,이정현,김수안,"
미션 임파서블: 폴아웃 (2018),8.1,"147분, 15세이상관람가 ","톰 크루즈,"
다크 나이트 라이즈 (2012),8.4,"164분, 15세이상관람가 ","크리스찬 베일,마이클 케인,게리 올드만,앤 해서웨이,톰 하디,마리옹 꼬띠아르,조셉 고든 레빗,모건 프리먼,"
사도 (2014),7.8,"125분, 12세이상관람가 ","송강호,유아인,문근영,"
미션 임파서블: 로그네이션 (2015),8.1,"131분, 15세이상관람가 ","톰 크루즈,"
킹스맨: 시크릿 에이전트 (2014),7.9,"128분, 청소년관람불가 ","콜린 퍼스,태런 에저튼,"
연평해전 (2015),6.6,"130분, 12세이상관람가 ","김무열,진구,이현우,"
레미제라블 (2012),8.4,"158분, 12세이상관람가 ","휴 잭맨,러셀 크로우,아만다 사이프리드,앤 해서웨이,헬레나 본햄 카터,"
쥬라기 월드: 폴른 킹덤 (2018),7.1,"127분, 12세이상관람가 ","크리스 프랫,브라이스 달라스 하워드,"
청년경찰 (2017),6.8,"109분, 15세이상관람가 ","박서준,강하늘,"
숨바꼭질 (2013),6.0,"107분, 15세이상관람가 ","손현주,전미선,문정희,"
덕혜옹주 (2016),7.3,"127분, 12세이상관람가 ","손예진,박해일,"
더 테러 라이브 (2013),8.3,"98분, 15세이상관람가 ","하정우,"
쥬라기 월드 (2015),6.7,"125분, 12세이상관람가 ","크리스 프랫,브라이스 달라스 하워드,"
감시자들 (2013),7.3,"119분, 15세이상관람가 ","설경구,정우성,한효주,"
앤트맨과 와스프 (2018),7.4,"118분, 12세이상관람가 ","폴 러드,에반젤린 릴리,"
닥터 스트레인지 (2016),8.0,"115분, 12세이상관람가 ","베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치에텔 에지오포,"
검은 사제들 (2015),7.4,"108분, 15세이상관람가 ","김윤석,강동원,"
안시성 (2017),7.7,"135분, 12세이상관람가 ","조인성,남주혁,박성웅,"
보헤미안 랩소디 (2018),9.0,"134분, 12세이상관람가 ","라미 말렉,루시 보인턴,귈림 리,벤 하디,조셉 마젤로,"
블랙 팬서 (2018),6.1,"134분, 12세이상관람가 ","채드윅 보스만,마이클 B. 조던,루피타 니옹,"
더 킹 (2016),7.4,"134분, 15세이상관람가 ","조인성,정우성,배성우,류준열,김의성,"
트랜스포머: 사라진 시대 (2014),6.1,"164분, 12세이상관람가 ","마크 월버그,니콜라 펠츠,잭 레이너,"
월드워Z (2013),7.3,"115분, 15세이상관람가 ","브래드 피트,"
타워 (2012),6.7,"121분, 12세이상관람가 ","설경구,손예진,김상경,"
미녀와 야수 (2017),6.9,"129분, 전체관람가 ","엠마 왓슨,댄 스티븐스,루크 에반스,"
독전 (2018),6.6,"2018.07.18(재개봉)","이해영,"
완벽한 타인 (2018),7.6,"115분, 15세이상관람가 ","유해진,조진웅,이서진,염정아,김지수,송하윤,윤경호,"
공작 (2018),8.3,"137분, 12세이상관람가 ","황정민,이성민,조진웅,주지훈,"
인사이드 아웃 (2015),8.4,"102분, 전체관람가 ","에이미 포엘러,필리스 스미스,리차드 카인드,빌 헤이더,루이스 블랙,민디 캘링,케이틀린 디아스,"
킹스맨: 골든 서클 (2017),6.5,"141분, 청소년관람불가 ","콜린 퍼스,줄리안 무어,태런 에저튼,"
바람과 함께 사라지다 (2012),7.2,"121분, 12세이상관람가 ","차태현,오지호,민효린,성동일,신정근,고창석,"
마션 (2015),7.3,"142분, 12세이상관람가 ","맷 데이먼,제시카 차스테인,"
토르 : 라그나로크 (2017),6.8,"130분, 12세이상관람가 ","크리스 헴스워스,톰 히들스턴,케이트 블란쳇,"
어메이징 스파이더맨 2 (2014),6.7,"142분, 12세이상관람가 ","앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한,"
"님아, 그 강을 건너지 마오 (2014)",9.0,"85분, 전체관람가 ","조병만,강계열,"
군도:민란의 시대 (2014),7.2,"137분, 15세이상관람가 ","하정우,강동원,"
범죄와의 전쟁 : 나쁜놈들 전성시대 (2011),8.3,"133분, 청소년관람불가 ","최민식,하정우,"
주토피아 (2016),8.4,"108분, 전체관람가 ","지니퍼 굿윈,제이슨 베이트먼,"
엣지 오브 투모로우 (2014),8.1,"113분, 12세이상관람가 ","톰 크루즈,에밀리 블런트,"
신세계 (2012),8.6,"134분, 청소년관람불가 ","이정재,최민식,황정민,"
신비한 동물사전 (2016),7.0,"132분, 12세이상관람가 ","에디 레드메인,캐서린 워터스턴,콜린 파렐,"
내 아내의 모든 것 (2012),8.2,"121분, 15세이상관람가 ","임수정,이선균,류승룡,"
판도라 (2016),7.7,"136분, 12세이상관람가 ","김남길,김영애,문정희,정진영,"
연가시 (2012),6.8,"109분, 15세이상관람가 ","김명민,문정희,김동완,이하늬,"
강철비 (2017),8.5,"139분, 15세이상관람가 ","정우성,곽도원,"
엑스맨: 데이즈 오브 퓨처 패스트 (2014),7.9,"134분, 12세이상관람가 ","휴 잭맨,제임스 맥어보이,마이클 패스벤더,패트릭 스튜어트,이안 맥켈런,제니퍼 로렌스,할리 베리,엘렌 페이지,"
아가씨 (2016),6.8,"145분, 청소년관람불가 ","김민희,김태리,하정우,"
어메이징 스파이더맨 2 (2014),6.7,"142분, 12세이상관람가 ","앤드류 가필드,엠마 스톤,제이미 폭스,데인 드한,"
용의자 (2013),7.9,"137분, 15세이상관람가 ","공유,"
건축학개론 (2012),8.4,"118분, 12세이상관람가 ","엄태웅,한가인,이제훈,수지,"
댄싱퀸 (2012),8.6,"124분, 12세이상관람가 ","황정민,엄정화,"
꾼 (2017),6.6,"116분, 15세이상관람가 ","현빈,유지태,배성우,박성웅,나나,안세하,"
혹성탈출: 반격의 서막 (2014),7.6,"130분, 12세이상관람가 ","앤디 서키스,제이슨 클락,게리 올드만,"
타짜-신의 손 (2014),6.2,"147분, 청소년관람불가 ","T.O.P,신세경,곽도원,이하늬,"
쿵푸팬더3 (2016),7.7,"95분, 전체관람가 ","잭 블랙,안젤리나 졸리,더스틴 호프만,"
캡틴 아메리카: 윈터 솔져 (2014),8.2,"136분, 15세이상관람가 ","크리스 에반스,"
박수건달 (2012),7.5,"128분, 15세이상관람가 ","박신양,김정태,엄지원,정혜영,"
베놈 (2018),7.2,"107분, 15세이상관람가 ","톰 하디,미셀 윌리엄스,"
조선명탐정 : 사라진 놉의 딸 (2014),7.1,"125분, 12세이상관람가 ","김명민,오달수,이연희,"
역린 (2014),7.3,"135분, 15세이상관람가 ","현빈,정재영,조정석,"
매드맥스: 분노의 도로 (2015),8.6,"2016.12.21(재개봉)","조지 밀러,"
남한산성 (2017),7.3,"140분, 15세이상관람가 ","이병헌,김윤석,박해일,고수,박희순,"
데드풀 2 (2017),6.8,"117분, 청소년관람불가 ","라이언 레이놀즈,조슈 브롤린,모레나 바카린,재지 비츠,줄리언 데니슨,"
암수살인 (2018),7.5,"110분, 15세이상관람가 ","김윤석,주지훈,"
미이라 (2017),6.3,"110분, 15세이상관람가 ","톰 크루즈,러셀 크로우,소피아 부텔라,애나벨 월리스,"
분노의 질주: 더 익스트림 (2017),8.4,"136분, 15세이상관람가 ","빈 디젤,드웨인 존슨,샤를리즈 테론,제이슨 스타뎀,"
너의 이름은. (2016),7.8,"2018.01.04(재개봉)","신카이 마코토,"
인턴 (2015),8.0,"121분, 12세이상관람가 ","앤 해서웨이,로버트 드 니로,"
라라랜드 (2016),8.0,"2017.12.08(재개봉)","데미안 셔젤,"
귀향 (2015),9.7,"127분, 15세이상관람가 ","강하나,최리,손숙,백수련,정무성,서미지,류신,임성철,오지혜,정인기,김민수,이승현,"
신의 한 수 (2014),7.1,"118분, 청소년관람불가 ","정우성,이범수,안성기,김인권,이시영,"
코코 (2017),8.9,"105분, 전체관람가 ","가엘 가르시아 베르날,안소니 곤잘레스,벤자민 브랫,르네 빅터,"
부러진 화살 (2011),9.5,"100분, 15세이상관람가 ","안성기,"
끝까지 간다 (2013),8.4,"111분, 15세이상관람가 ","이선균,조진웅,"
비긴 어게인 (2013),8.3,"104분, 15세이상관람가 ","키이라 나이틀리,마크 러팔로,"
스파이 (2013),6.3,"121분, 15세이상관람가 ","설경구,문소리,다니엘 헤니,"
그것만이 내 세상 (2017),8.7,"120분, 12세이상관람가 ","이병헌,윤여정,박정민,"
맨 인 블랙 3 (2012),7.3,"106분, 12세이상관람가 ","윌 스미스,토미 리 존스,조슈 브롤린,"
어바웃 타임 (2013),8.6,"123분, 15세이상관람가 ","도널 글리슨,레이첼 맥아담스,빌 나이,"
슈퍼배드 3 (2017),8.1,"90분, 전체관람가 ","스티브 카렐,크리스튼 위그,트레이 파커,"
데드풀 (2016),6.8,"108분, 청소년관람불가 ","라이언 레이놀즈,"
아이 캔 스피크 (2017),9.3,"119분, 12세이상관람가 ","나문희,이제훈,"
스타워즈 : 깨어난 포스 (2015),7.3,"135분, 12세이상관람가 ","데이지 리들리,존 보예가,오스카 아이삭,"
분노의 질주: 더 세븐 (2015),8.8,"138분, 15세이상관람가 ","빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀,"
터미네이터 제니시스 (2015),5.8,"125분, 15세이상관람가 ","아놀드 슈왈제네거,제이슨 클락,에밀리아 클락,제이 코트니,"
그래비티 (2013),8.1,"2018.08.29(재개봉)","알폰소 쿠아론,"
마녀 (2018),8.0,"126분, 15세이상관람가 ","김다미,조민수,박희순,최우식,"
탐정: 리턴즈 (2018),7.4,"116분, 15세이상관람가 ","권상우,성동일,이광수,"
감기 (2013),7.2,"122분, 15세이상관람가 ","장혁,수애,박민하,"
나우 유 씨 미2 (2016),6.8,"129분, 12세이상관람가 ","제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랭코,리지 캐플란,"
캐리비안의 해적: 죽은 자는 말이 없다 (2017),7.3,"129분, 12세이상관람가 ","조니 뎁,하비에르 바르뎀,브렌튼 스웨이츠,카야 스코델라리오,올랜도 블룸,"
스물 (2014),7.2,"115분, 15세이상관람가 ","김우빈,준호,강하늘,"
토르 : 다크 월드 (2013),7.6,"112분, 12세이상관람가 ","크리스 헴스워스,나탈리 포트만,톰 히들스턴,안소니 홉킨스,크리스토퍼 에클리스턴,"
인크레더블 2 (2018),8.1,"125분, 전체관람가 ","크레이그 T. 넬슨,홀리 헌터,사라 보웰,헉 밀너,사무엘 L. 잭슨,"
레드: 더 레전드 (2013),7.4,"116분, 15세이상관람가 ","브루스 윌리스,존 말코비치,메리 루이스 파커,이병헌,캐서린 제타 존스,안소니 홉킨스,헬렌 미렌,"
드래곤 길들이기2 (2014),8.3,"101분, 전체관람가 ","오승윤,안장혁,최석필,김서영,방성준,하성용,김현심,박성태,정승욱,키트 해링턴,이선주,"
형 (2016),7.3,"110분, 12세이상관람가 ","조정석,디오,박신혜,"
친구2 (2013),6.1,"124분, 청소년관람불가 ","유오성,주진모,김우빈,"
26년 (2012),8.3,"135분, 15세이상관람가 ","진구,한혜진,임슬옹,배수빈,이경영,장광,"
서치 (2018),8.3,"102분, 12세이상관람가 ","존 조,데브라 메싱,"
표적 (2014),6.6,"98분, 15세이상관람가 ","류승룡,유준상,이진욱,김성령,조여정,조은지,"
프리즌 (2016),7.2,"125분, 청소년관람불가 ","한석규,김래원,"
극비수사 (2015),7.7,"107분, 15세이상관람가 ","김윤석,유해진,"
표적 (2014),6.6,"98분, 15세이상관람가 ","류승룡,유준상,이진욱,김성령,조여정,조은지,"
앤트맨 (2015),7.9,"117분, 12세이상관람가 ","폴 러드,마이클 더글라스,에반젤린 릴리,"
호빗: 다섯 군대 전투 (2014),8.1,"144분, 12세이상관람가 ","이안 맥켈런,마틴 프리먼,"
호빗 : 뜻밖의 여정 (2012),8.1,"169분, 12세이상관람가 ","이안 맥켈런,마틴 프리먼,"
너의 결혼식 (2018),7.4,"110분, 12세이상관람가 ","박보영,김영광,"
메이즈 러너 (2014),7.1,"113분, 12세이상관람가 ","딜런 오브라이언,카야 스코델라리오,토마스 생스터,윌 폴터,"
빅 히어로 (2014),7.8,"108분, 전체관람가 ","라이언 포터,스캇 애짓,다니엘 헤니,"
덩케르크 (2017),7.5,"106분, 12세이상관람가 ","톰 하디,마크 라이런스,케네스 브래너,킬리언 머피,핀 화이트헤드,"
